"M","Macy's","3,141","bmo","0.13","0.26","+0.13 ","+100.00% ","-14.05%","", 22/08/2023
"LOW","Lowe's Companies","115,186","bmo","4.49","4.56","+0.07 ","+1.56% ","3.75%","", 22/08/2023
"IQ","iQIYI","4,230","bmo","0.05","0.05","0.00 ","0.00% ","-5.96%","", 22/08/2023
"BIDU","Baidu","44,164","bmo","2.57","3.11","+0.54 ","+21.01% ","2.75%","", 22/08/2023
"CSIQ","Canadian Solar","1,411","bmo","1.52","2.39","+0.87 ","+57.24% ","-12.91%","", 22/08/2023
"MDT","Medtronic","101,480","bmo","1.11","1.20","+0.09 ","+8.11% ","2.59%","", 22/08/2023
"DKS","DICK'S Sporting Goods","8,893","bmo","3.76","2.82","-0.94 ","-25.00% ","-24.15%","", 22/08/2023
"URBN","Urban Outfitters","2,912","amc","0.89","1.10","+0.21 ","+23.60% ","3.05%","", 22/08/2023
"COTY","Coty","8,792","bmo","0.02","0.01","-0.01 ","-50.00% ","-2.28%","", 22/08/2023
"TOL","Toll Brothers","7,711","amc","2.86","3.73","+0.87 ","+30.42% ","3.86%","", 22/08/2023
"BHP","BHP Group Limited","139,411","bmo","--","--","--","--","--","", 22/08/2023
"BJ","BJ's Wholesale Club","9,381","bmo","0.90","0.97","+0.07 ","+7.78% ","-5.13%","", 22/08/2023
"SSL","Sasol","7,908","--","--","--","--","--","--","", 22/08/2023
"MNSO","MINISO Group Holding Limited","7,797","bmo","--","0.24","--","--","9.77%","", 22/08/2023
"PINC","Premier","2,480","bmo","0.67","0.68","+0.01 ","+1.49% ","-3.34%","", 22/08/2023
"GDS","GDS Holdings","1,953","bmo","-0.28","-0.18","+0.10 ","+35.71% ","4.13%","", 22/08/2023
"FIHL","Fidelis Insurance Holdings Limited","1,713","amc","0.63","0.77","+0.14 ","+22.22% ","3.56%","", 22/08/2023
"SPHR","Sphere Entertainment Co.","1,410","bmo","-0.40","10.21","+10.61 ","+2,652.50% ","7.73%","", 22/08/2023
"LZB","LaZBoy","1,314","amc","0.55","0.62","+0.07 ","+12.73% ","-0.50%","", 22/08/2023
"KC","Kingsoft Cloud","1,190","bmo","-0.20","-0.19","+0.01 ","+5.00% ","-1.36%","", 22/08/2023
"FSCO","FS Credit Opportunities Corp.","1,081","amc","--","--","--","--","--","", 22/08/2023
"SCSC","ScanSource","767","bmo","0.88","0.76","-0.12 ","-13.64% ","-1.80%","", 22/08/2023
"YSG","Yatsen","385","bmo","--","-0.01","--","--","3.06%","", 22/08/2023
"CTRN","Citi Trends","190","bmo","--","-0.60","--","--","5.08%","", 22/08/2023
"ELMD","Electromed","88","amc","--","0.12","--","--","10.59%","", 22/08/2023
"RFAC","RF Acquisition Corp.","77","bmo","--","-0.03","--","--","--","", 22/08/2023
"BMTX","BM Technologies","25","amc","-0.32","-0.35","-0.03 ","-9.37% ","-17.43%","", 22/08/2023
"CSLR","Complete Solaria, Inc.","22","amc","--","--","--","--","--","", 22/08/2023
"BOSC","B.O.S. Better Online Solutions","21","bmo","--","0.11","--","--","2.54%","", 22/08/2023
"NEXCF","NEXTECH3D.AI CP","21","amc","-0.04","-0.04","0.00 ","0.00% ","-2.56%","", 22/08/2023
"ACOGF","Alpha Cognition Inc.","19","amc","--","-0.03","--","--","0.00%","", 22/08/2023
"PPBT","Purple Biotech","18","--","-0.25","-0.23","+0.02 ","+8.00% ","-3.15%","", 22/08/2023
"ATGN","AltiGen Communications","16","amc","--","0.00","--","--","-3.57%","", 22/08/2023
"WETG","WeTrade Group Inc.","12","--","--","0.00","--","--","-2.09%","", 22/08/2023
"LTRY","Lottery.com","7","--","--","-1.67","--","--","0.28%","", 22/08/2023
"BSFC","Blue Star Foods","1","bmo","--","-0.61","--","--","-11.60%","", 22/08/2023
"IVFZF","Mapath Capital Corp.","0","--","--","0.00","--","--","0.00%","", 22/08/2023
"ACH","Aluminum Corp. of China Limited","NA","--","--","0.33","--","--","-3.02%","", 22/08/2023
"SPKKY","Spark New Zealand","NA","--","--","--","--","--","--","", 22/08/2023
"LVTX","LAVA Therapeutics","NA","bmo","-0.48","-0.48","0.00 ","0.00% ","1.67%","", 22/08/2023
"SRNN","Southern Banc Co.","NA","amc","--","1.02","--","--","6.46%","", 22/08/2023
