"BAC","Bank of America","206,129","bmo","0.84","0.88","+0.04 ","+4.76% ","4.42%","", 18/07/2023
"LMT","Lockheed Martin","101,068","bmo","6.43","6.73","+0.30 ","+4.67% ","-3.04%","", 18/07/2023
"MS","Morgan Stanley","131,049","bmo","1.14","1.24","+0.10 ","+8.77% ","6.45%","", 18/07/2023
"SYF","Synchrony Financial","12,144","bmo","1.22","1.32","+0.10 ","+8.20% ","1.86%","", 18/07/2023
"NVS","Novartis","203,821","bmo","1.68","1.83","+0.15 ","+8.93% ","4.57%","", 18/07/2023
"SCHW","Charles Schwab","91,007","bmo","0.72","0.75","+0.03 ","+4.17% ","12.57%","", 18/07/2023
"PNC","The PNC Financial Services Group","47,830","bmo","3.31","3.36","+0.05 ","+1.51% ","2.51%","", 18/07/2023
"BK","The Bank of New York Mellon","32,117","bmo","1.22","1.38","+0.16 ","+13.11% ","4.11%","", 18/07/2023
"JBHT","J.B. Hunt Transport Services","19,359","amc","1.97","1.81","-0.16 ","-8.12% ","3.75%","", 18/07/2023
"PLD","Prologis","100,165","bmo","1.68","1.83","+0.15 ","+8.93% ","-3.11%","", 18/07/2023
"WAL","Western Alliance Ban","4,720","amc","1.98","1.96","-0.02 ","-1.01% ","7.78%","", 18/07/2023
"IBKR","Interactive Brokers","36,401","amc","1.41","1.32","-0.09 ","-6.38% ","-4.98%","", 18/07/2023
"OMC","Omnicom Group","14,482","amc","1.80","1.81","+0.01 ","+0.56% ","-10.36%","", 18/07/2023
"FULT","Fulton Financial","1,970","amc","0.42","0.47","+0.05 ","+11.90% ","4.73%","", 18/07/2023
"EPOKY","Epiroc Aktiebolag","22,721","--","0.18","0.21","+0.03 ","+16.67% ","4.18%","", 18/07/2023
"BIOVF","Swedish Orphan Biovitrum","6,139","bmo","0.11","0.14","+0.03 ","+27.27% ","4.24%","", 18/07/2023
"TLTZY","Tele2","4,971","bmo","--","0.06","--","--","-7.23%","", 18/07/2023
"PNFP","Pinnacle Financial Partners","4,968","amc","1.64","1.79","+0.15 ","+9.15% ","7.88%","", 18/07/2023
"GNGBY","GETINGE","4,734","bmo","--","0.10","--","--","4.72%","", 18/07/2023
"HWC","Hancock Whitney","2,961","amc","1.33","1.35","+0.02 ","+1.50% ","2.28%","", 18/07/2023
"UCBI","United Community Banks","2,943","amc","0.62","0.55","-0.07 ","-11.29% ","-1.19%","", 18/07/2023
"AIR","AAR","2,084","amc","0.77","0.83","+0.06 ","+7.79% ","-1.79%","", 18/07/2023
"ODD","ODDITY Tech Ltd.","1,532","bmo","--","0.38","--","--","--","", 18/07/2023
"NIC","Nicolet Bankshares","1,021","amc","1.49","1.53","+0.04 ","+2.68% ","5.33%","", 18/07/2023
"BFC","Bank First National","804","amc","1.41","1.42","+0.01 ","+0.71% ","-0.01%","", 18/07/2023
"MBWM","Mercantile Bank","492","bmo","1.11","1.27","+0.16 ","+14.41% ","12.16%","", 18/07/2023
"CATC","Cambridge Bancorp","462","bmo","1.18","1.23","+0.05 ","+4.24% ","-4.17%","", 18/07/2023
"EQBK","Equity Bancshares","371","amc","0.73","0.80","+0.07 ","+9.59% ","2.59%","", 18/07/2023
"DIT","AMCON Distributing","116","amc","--","6.59","--","--","-4.09%","", 18/07/2023
"ASRV","AmeriServ Financial","45","bmo","--","-0.01","--","--","4.56%","", 18/07/2023
"UAMY","United States Antimony","39","bmo","--","-0.01","--","--","--","", 18/07/2023
"CIBH","Cib Marine Bancshares","33","amc","--","0.64","--","--","4.17%","", 18/07/2023
"CLRD","Superconductor Technologies","20","amc","--","-0.18","--","--","-19.28%","", 18/07/2023
"ILAL","International Land Alliance, Inc.","11","amc","--","-0.45","--","--","0.00%","", 18/07/2023
"AIAD","AiAdvertising, Inc.","8","amc","--","0.00","--","--","12.68%","", 18/07/2023
"HSCS","Heart Test Laboratories, Inc.","5","bmo","--","-0.16","--","--","--","", 18/07/2023
"PVSP","Pervasip","2","bmo","--","0.00","--","--","0.00%","", 18/07/2023
"CNXA","Connexa Sports Technologies Inc.","2","--","--","-40.00","--","--","--","", 18/07/2023
"PHOT","Growlife","0","bmo","--","-0.06","--","--","3.09%","", 18/07/2023
"SWDBY","Swedbank","NA","bmo","--","0.77","--","--","2.10%","", 18/07/2023
