"NIO","NIO","15,180","bmo","1,354.76","1,209.68","-145.08 ","-10.71% ","-1.18%","", 29/08/2023
"BBY","Best Buy","14,921","bmo","9,521.17","9,583.00","+61.83 ","+0.65% ","3.86%","", 29/08/2023
"YY","JOYY","2,374","amc","540.69","547.33","+6.64 ","+1.23% ","0.38%","", 29/08/2023
"PSEC","Prospect Capital","2,401","amc","220.43","221.50","+1.07 ","+0.49% ","0.50%","", 29/08/2023
"SCVL","Shoe Carnival","657","bmo","286.89","294.62","+7.73 ","+2.69% ","0.50%","", 29/08/2023
"BMO","Bank Of Montreal","57,835","bmo","--","5,940.68","--","--","0.52%","", 29/08/2023
"HPE","Hewlett Packard","21,822","amc","6,977.55","7,002.00","+24.45 ","+0.35% ","3.09%","", 29/08/2023
"HPQ","HP","25,735","amc","13,360.08","13,196.00","-164.08 ","-1.23% ","-6.63%","", 29/08/2023
"BOX","Box","3,581","amc","261.03","261.43","+0.40 ","+0.15% ","-12.31%","", 29/08/2023
"PVH","PVH","4,389","amc","2,186.18","2,207.00","+20.82 ","+0.95% ","1.92%","", 29/08/2023
"BNS","Bank of Nova Scotia","51,854","bmo","6,051.72","6,061.31","+9.59 ","+0.16% ","3.01%","", 29/08/2023
"SJM","The J. M. Smucker Co.","12,288","bmo","1,841.04","1,805.20","-35.84 ","-1.95% ","2.13%","", 29/08/2023
"BIG","Big Lots","121","bmo","1,100.29","1,139.36","+39.07 ","+3.55% ","26.75%","", 29/08/2023
"MBUU","Malibu Boats","1,007","bmo","328.12","372.30","+44.18 ","+13.46% ","-1.63%","", 29/08/2023
"CHS","Chico's FAS","922","bmo","554.90","545.13","-9.77 ","-1.76% ","1.17%","", 29/08/2023
"AMBA","Ambarella","2,101","amc","62.41","62.12","-0.29 ","-0.46% ","-20.37%","", 29/08/2023
"PDD","PDD Holdings Inc.","129,531","bmo","6,138.94","7,209.84","+1,070.90 ","+17.44% ","15.43%","", 29/08/2023
"HMY","Harmony Gold","2,310","--","690.10","--","--","--","--","", 29/08/2023
"AMWD","American Woodmark","1,233","amc","489.40","498.26","+8.86 ","+1.81% ","3.50%","", 29/08/2023
