"JPM","JPMorgan Chase & Co.","416,587","bmo","37,061.04","41,307.00","+4,245.96 ","+11.46% ","0.60%","", 14/07/2023
"UNH","UnitedHealth Group","472,990","bmo","90,603.46","92,903.00","+2,299.54 ","+2.54% ","7.24%","", 14/07/2023
"C","Citigroup","77,500","bmo","19,364.83","19,436.00","+71.17 ","+0.37% ","-4.05%","", 14/07/2023
"ERIC","Ericsson","15,818","bmo","6,124.75","6,124.82","+0.07 ","+0.00% ","-12.46%","", 14/07/2023
"WFC","Wells Fargo & Company","142,583","bmo","20,272.99","20,533.00","+260.01 ","+1.28% ","-0.34%","", 14/07/2023
"BLK","BlackRock","95,036","bmo","4,472.24","4,463.00","-9.24 ","-0.21% ","-1.59%","", 14/07/2023
"STT","State Street","20,540","bmo","3,128.40","3,110.00","-18.40 ","-0.59% ","-12.08%","", 14/07/2023
"WAFD","WaFd, Inc.","1,629","amc","187.43","182.47","-4.96 ","-2.65% ","--","", 14/07/2023
"HIFS","Hingham Institution for Savings","367","amc","--","18.70","--","--","--","", 14/07/2023
"UNTY","Unity Bancorp","238","bmo","23.75","25.64","+1.89 ","+7.96% ","5.37%","", 14/07/2023
"MLGF","Malaga Financial","201","amc","--","--","--","--","--","", 14/07/2023
"TRX","TRX Gold Corporation","104","amc","9.40","9.32","-0.08 ","-0.85% ","--","", 14/07/2023
"GP","GreenPower Motor","78","bmo","--","15.30","--","--","6.11%","", 14/07/2023
"TMQ","Trilogy Metals","72","bmo","--","0.00","--","--","-1.26%","", 14/07/2023
"CCEL","CryoCell International","40","amc","--","7.77","--","--","--","", 14/07/2023
"WETG","WeTrade Group Inc.","12","amc","--","2.47","--","--","--","", 14/07/2023
"LEXX","Lexaria Bioscience","8","amc","0.08","0.09","+0.01 ","+12.50% ","--","", 14/07/2023
"XCUR","Exicure","6","amc","--","0.00","--","--","--","", 14/07/2023
"SWVL","SWVL HOLDINGS","5","amc","--","24.82","--","--","--","", 14/07/2023
"MICS","Singing Machine Co.","5","amc","--","3.38","--","--","--","", 14/07/2023
"IPCIF","Intellipharmaceutics International","2","amc","--","0.48","--","--","--","", 14/07/2023
"MASN","Maison Luxe","0","--","--","4.34","--","--","--","", 14/07/2023
"ADMT","ADM Tronics Unlimited","NA","bmo","--","0.63","--","--","-5.05%","", 14/07/2023
"CAWW","CCA Industries","NA","bmo","--","2.99","--","--","0.00%","", 14/07/2023
"ORKLY","Orkla Asa","NA","bmo","--","1,596.86","--","--","4.50%","", 14/07/2023
"UUU","Universal Security Instruments","NA","amc","--","5.93","--","--","--","", 14/07/2023
