"RH","RH","4,572","amc","777.89","800.48","+22.59 ","+2.90% ","-15.63%","", 07/09/2023
"DOCU","DocuSign","8,421","amc","676.79","687.69","+10.90 ","+1.61% ","-3.68%","", 07/09/2023
"GIII","GIII Apparel Group","1,111","bmo","594.51","659.76","+65.25 ","+10.98% ","24.25%","", 07/09/2023
"SCWX","SecureWorks","536","bmo","89.98","92.97","+2.99 ","+3.32% ","-7.22%","", 07/09/2023
"SMAR","Smartsheet","5,455","amc","229.34","235.59","+6.25 ","+2.73% ","6.62%","", 07/09/2023
"SAIC","Science Applications International","5,600","bmo","1,692.18","1,784.00","+91.82 ","+5.43% ","-4.86%","", 07/09/2023
"KFY","KornFerry International","2,536","bmo","683.00","699.19","+16.19 ","+2.37% ","-2.23%","", 07/09/2023
"ZUMZ","Zumiez","345","amc","190.00","194.44","+4.44 ","+2.34% ","-10.21%","", 07/09/2023
"GWRE","Guidewire Software","7,265","amc","261.03","269.96","+8.93 ","+3.42% ","10.97%","", 07/09/2023
"FIZZ","National Beverage","4,414","amc","--","324.24","--","--","-1.79%","", 07/09/2023
"MEI","Methode Electronics","838","bmo","268.28","289.70","+21.42 ","+7.98% ","-22.23%","", 07/09/2023
"ABM","ABM Industries","2,642","bmo","2,020.35","2,028.20","+7.85 ","+0.39% ","-13.64%","", 07/09/2023
"QD","Qudian","471","bmo","--","1.53","--","--","-17.30%","", 07/09/2023
"PRNDY","Pernod Ricard","43,322","--","--","--","--","--","--","", 07/09/2023
"SKHSY","Sekisui House","12,329","bmo","--","5,494.83","--","--","0.14%","", 07/09/2023
"TTC","Toro","8,607","bmo","1,220.44","1,081.78","-138.66 ","-11.36% ","-12.69%","", 07/09/2023
"DOOO","BRP","5,793","bmo","1,996.49","2,081.37","+84.88 ","+4.25% ","-1.94%","", 07/09/2023
"BRZE","Braze","4,486","amc","108.47","115.11","+6.64 ","+6.12% ","3.13%","", 07/09/2023
"IMPUY","Impala Platinum","4,169","--","--","--","--","--","--","", 07/09/2023
"WLYB","John Wiley & Sons","2,066","bmo","--","451.01","--","--","2.23%","", 07/09/2023
"WLY","John Wiley & Sons","1,959","bmo","--","451.01","--","--","1.46%","", 07/09/2023
"PL","Planet Labs PBC","737","amc","54.04","53.76","-0.28 ","-0.52% ","-11.04%","", 07/09/2023
"DBI","Designer Brands","732","bmo","794.60","792.22","-2.38 ","-0.30% ","21.97%","", 07/09/2023
"SWBI","Smith & Wesson Brands","610","amc","--","114.24","--","--","10.85%","", 07/09/2023
"CDMO","Avid Bioservices","598","amc","34.00","37.73","+3.73 ","+10.97% ","-6.84%","", 07/09/2023
"TNP","Tsakos Energy Navigation","569","bmo","174.10","182.56","+8.46 ","+4.86% ","-4.26%","", 07/09/2023
"BBCP","Concrete Pumping Holdings","461","amc","115.22","120.67","+5.45 ","+4.73% ","6.80%","", 07/09/2023
"WDH","Waterdrop","446","bmo","--","93.60","--","--","-3.95%","", 07/09/2023
"CRESY","Cresud","384","--","--","346.58","--","--","-4.16%","", 07/09/2023
"KALV","KalVista Pharmaceuticals","311","bmo","--","0.00","--","--","0.60%","", 07/09/2023
"TSP","TuSimple","299","bmo","--","1.86","--","--","--","", 07/09/2023
"LMNR","Limoneira Co","267","amc","48.58","52.50","+3.92 ","+8.07% ","-4.17%","", 07/09/2023
"LTRX","Lantronix","161","amc","35.20","34.92","-0.28 ","-0.80% ","28.25%","", 07/09/2023
"AOUT","American Outdoor Brands","125","amc","41.96","43.45","+1.49 ","+3.55% ","-0.53%","", 07/09/2023
"GMGI","Golden Matrix Group, Inc.","99","bmo","--","11.31","--","--","2.56%","", 07/09/2023
"KZIA","Novogen Limited","15","--","--","--","--","--","--","", 07/09/2023
